"EventlogID";"UserName";"ProcessID";"MachineName";"MethodName";"TypeName";"FileName";"LineNo";"EventSource";"EventTime";"EventType";"ErrorNo";"EventMsg"
"569923";"DOM1\S31023";"0";"SM06245";;;;"0";"EMIR-Regulation Cube Processor";"2014-01-27 14:32:05.000";"[Info]";"0";"Started processing Base Our Entity Dimension"
"569922";"DOM1\S31023";"0";"SM06245";;;;"0";"EMIR-Regulation Cube Processor";"2014-01-27 14:32:04.000";"[Info]";"0";"Started processing Base Currency Dimension"
"569921";"DOM1\S31023";"0";"SM06245";;;;"0";"EMIR-Regulation Cube Processor";"2014-01-27 14:32:02.000";"[Info]";"0";"Started processing Base Unit Dimension"
"569914";"DOM1\S31023";"0";"SM06245";;;;"0";"LogicWatcher";"2014-01-27 14:32:00.000";"[Info]";"0";"Beginning of package execution.  "
"569915";"DOM1\S31023";"0";"SM06245";;;;"0";"Poll for Conditional Logic";"2014-01-27 14:32:00.000";"[Error]";"8";"The script returned a failure result."
"569916";"DOM1\S31023";"0";"SM06245";;;;"0";"LogicWatcher";"2014-01-27 14:32:00.000";"[Error]";"8";"The script returned a failure result."
"569917";"DOM1\S31023";"0";"SM06245";;;;"0";"LogicWatcher";"2014-01-27 14:32:00.000";"[Info]";"1";"End of package execution.  "
"569918";"DOM1\S31023";"0";"SM06245";;;;"0";"EMIR-Regulation Cube Processor";"2014-01-27 14:32:00.000";"[Info]";"0";"Started processing Interface System Dimension"
"569919";"DOM1\S31023";"0";"SM06245";;;;"0";"Upload XML to TR";"2014-01-27 14:32:00.000";"[Info]";"0";"Beginning of package execution.  "
"569920";"DOM1\S31023";"0";"SM06245";;;;"0";"Upload XML to TR";"2014-01-27 14:32:00.000";"[Info]";"0";"End of package execution.  "
"569913";"DOM1\S31023";"0";"SM06245";;;;"0";"EMIR-Regulation Cube Processor";"2014-01-27 14:31:55.000";"[Info]";"0";"Started processing Unit Dimension"
